District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Clinton,640000,SCI,77,28,7,3,70,26,151,56,43,16,271,96,488.9,,
Codman Academy Charter Public (District),4380000,SCI,4,10,0,0,4,10,22,56,13,33,39,100,478.5,,
Cohasset,650000,SCI,113,57,26,13,87,44,75,38,9,5,197,99,504.9,,
Collegiate Charter School of Lowell (District),35030000,SCI,56,34,6,4,50,30,82,49,28,17,166,98,490.8,,
Community Charter School of Cambridge (District),4360000,SCI,12,32,0,0,12,32,18,47,8,21,38,97,489.2,,
Community Day Charter Public School - Gateway (District),4260000,SCI,25,38,3,5,22,33,27,41,14,21,66,100,493.1,,
Community Day Charter Public School - Prospect (District),4400000,SCI,25,37,2,3,23,34,35,51,8,12,68,100,493.2,,
Community Day Charter Public School - R. Kingman Webster (District),4310000,SCI,19,31,3,5,16,26,32,52,10,16,61,100,491.8,,
Concord,670000,SCI,301,67,69,15,232,51,127,28,23,5,451,98,508.5,,
Conservatory Lab Charter (District),4390000,SCI,21,32,2,3,19,29,30,46,14,22,65,97,488.5,,
Conway,680000,SCI,11,52,1,5,10,48,10,48,0,0,21,100,507.6,,
Danvers,710000,SCI,190,42,33,7,157,35,205,45,59,13,454,91,496.1,,
Dartmouth,720000,SCI,216,43,33,7,183,36,222,44,67,13,505,95,496.2,,
Dedham,730000,SCI,152,41,22,6,130,35,153,42,63,17,368,95,495.1,,
Deerfield,740000,SCI,17,46,7,19,10,27,16,43,4,11,37,97,499.9,,
Dennis-Yarmouth,6450000,SCI,154,37,26,6,128,31,178,43,80,19,412,93,491.9,,
Dighton-Rehoboth,6500000,SCI,142,39,13,4,129,36,172,47,49,13,363,90,494.3,,
Douglas,770000,SCI,82,47,12,7,70,40,65,38,26,15,173,92,497.3,,
Dover,780000,SCI,62,70,16,18,46,52,23,26,3,3,88,98,512.5,,
Dover-Sherborn,6550000,SCI,102,73,34,24,68,49,30,21,8,6,140,95,512.6,,
Dracut,790000,SCI,202,35,18,3,184,32,274,47,106,18,582,99,491.3,,
Dudley Street Neighborhood Charter School (District),4070000,SCI,9,31,0,0,9,31,8,28,12,41,29,97,479.9,,
Dudley-Charlton Reg,6580000,SCI,221,43,22,4,199,39,250,49,42,8,513,98,497.2,,
Duxbury,820000,SCI,258,57,27,6,231,51,177,39,15,3,450,97,503.4,,
East Bridgewater,830000,SCI,132,42,24,8,108,34,148,47,34,11,314,96,496.5,,
East Longmeadow,870000,SCI,170,52,17,5,153,47,123,38,33,10,326,93,500.9,,
Eastham,850000,SCI,20,77,5,19,15,58,3,12,3,12,26,84,512.8,,
Easthampton,860000,SCI,79,39,10,5,69,34,95,47,29,14,203,96,494.6,,
Easton,880000,SCI,296,55,56,10,240,45,210,39,30,6,536,95,503.4,,
Edgartown,890000,SCI,27,38,7,10,20,28,31,44,13,18,71,100,493.7,,
Erving,910000,SCI,2,14,1,7,1,7,9,64,3,21,14,67,482.8,,
Everett,930000,SCI,112,16,7,1,105,15,328,46,276,39,716,82,477.9,,
Excel Academy Charter (District),4100000,SCI,70,26,11,4,59,22,134,51,61,23,265,95,486.8,,
Fairhaven,940000,SCI,109,48,18,8,91,40,102,45,17,7,228,85,499.8,,
Fall River,950000,SCI,288,21,32,2,256,19,628,46,452,33,"1,368",90,481.5,,
Falmouth,960000,SCI,227,51,45,10,182,41,160,36,59,13,446,97,500.4,,
Fitchburg,970000,SCI,114,18,10,2,104,16,295,46,238,37,647,95,479.8,,
Florida,980000,SCI,6,29,0,0,6,29,7,33,8,38,21,95,483.1,,
Four Rivers Charter Public (District),4130000,SCI,13,50,3,12,10,38,12,46,1,4,26,76,499.2,,
Foxborough,990000,SCI,197,54,34,9,163,44,142,39,29,8,368,97,501.1,,
Foxborough Regional Charter (District),4460000,SCI,88,37,9,4,79,33,122,51,31,13,241,97,492.4,,
Framingham,1000000,SCI,360,32,58,5,302,27,453,40,309,28,"1,122",93,487.5,,
Francis W. Parker Charter Essential (District),4780000,SCI,39,58,7,10,32,48,24,36,4,6,67,94,503.5,,
Franklin,1010000,SCI,407,58,78,11,329,47,248,35,44,6,699,97,504.7,,
Freetown-Lakeville,6650000,SCI,229,54,43,10,186,43,168,39,31,7,428,93,502.5,,
Frontier,6700000,SCI,51,57,9,10,42,47,30,34,8,9,89,93,502,,
Gardner,1030000,SCI,58,20,2,1,56,20,139,49,88,31,285,92,482.2,,
Gateway,6720000,SCI,52,46,7,6,45,39,53,46,9,8,114,97,498.7,,
Georgetown,1050000,SCI,75,41,10,6,65,36,85,47,21,12,181,97,495.6,,
Gill-Montague,6740000,SCI,33,30,3,3,30,27,54,49,23,21,110,81,488.8,,
Global Learning Charter Public (District),4960000,SCI,24,17,1,1,23,16,85,61,31,22,140,85,482.5,,
Gloucester,1070000,SCI,149,38,15,4,134,34,176,44,72,18,397,99,492.2,,
Grafton,1100000,SCI,292,63,60,13,232,50,131,28,43,9,466,93,505.2,,
Granby,1110000,SCI,33,32,4,4,29,28,56,54,14,14,103,98,493,,
Greater Commonwealth Virtual District,39010000,SCI,18,32,2,4,16,28,29,51,10,18,57,74,488.1,,
Greenfield,1140000,SCI,41,29,6,4,35,25,66,47,34,24,141,65,487.6,,
Groton-Dunstable,6730000,SCI,216,67,54,17,162,50,85,26,21,7,322,94,509.6,,
Hadley,1170000,SCI,52,63,9,11,43,52,22,27,8,10,82,96,505.3,,
Halifax,1180000,SCI,39,49,8,10,31,39,33,42,7,9,79,96,501.8,,
Hamilton-Wenham,6750000,SCI,154,63,29,12,125,51,86,35,3,1,243,99,507.3,,
Hampden Charter School of Science East (District),4990000,SCI,5,23,0,0,5,23,10,45,7,32,22,81,480.6,,
Hampden Charter School of Science West (District),35160000,SCI,6,23,0,0,6,23,16,62,4,15,26,100,488.3,,
Hampden-Wilbraham,6800000,SCI,189,49,18,5,171,44,162,42,38,10,389,98,498.6,,
Hampshire,6830000,SCI,43,46,4,4,39,41,44,47,7,7,94,80,498.4,,
Hanover,1220000,SCI,239,58,52,13,187,46,147,36,23,6,409,100,504.8,,
Harvard,1250000,SCI,124,82,35,23,89,59,20,13,7,5,151,97,515.3,,
Hatfield,1270000,SCI,24,39,4,7,20,33,28,46,9,15,61,95,495.3,,
Haverhill,1280000,SCI,285,26,31,3,254,23,498,46,298,28,"1,081",90,485.1,,
Hawlemont,6850000,SCI,3,20,0,0,3,20,7,47,5,33,15,94,482.6,,
Helen Y. Davis Leadership Academy Charter Public (District),4190000,SCI,5,17,1,3,4,14,14,48,10,34,29,94,480.5,,
Hill View Montessori Charter Public (District),4550000,SCI,14,23,1,2,13,21,33,53,15,24,62,94,484.3,,
Hilltown Cooperative Charter Public (District),4500000,SCI,29,63,3,7,26,57,14,30,3,7,46,85,506,,
Hingham,1310000,SCI,422,70,124,21,298,50,150,25,27,5,599,99,511.4,,
Holbrook,1330000,SCI,86,44,13,7,73,37,89,45,22,11,197,97,497.9,,
Holland,1350000,SCI,11,39,2,7,9,32,15,54,2,7,28,100,496.7,,
Holliston,1360000,SCI,237,57,40,10,197,47,158,38,24,6,419,98,504.5,,
Holyoke,1370000,SCI,34,7,0,0,34,7,208,40,279,54,521,92,470.7,,
Holyoke Community Charter (District),4530000,SCI,27,24,4,4,23,20,53,46,34,30,114,100,485,,
Hoosac Valley Regional,6030000,SCI,29,19,2,1,27,18,84,56,36,24,149,100,484.3,,
Hopedale,1380000,SCI,78,53,15,10,63,43,53,36,17,11,148,90,501,,
Hopkinton,1390000,SCI,408,75,107,20,301,56,110,20,23,4,541,98,512,,
Hudson,1410000,SCI,129,35,15,4,114,31,171,47,64,18,364,97,490.9,,
Hull,1420000,SCI,41,40,6,6,35,34,47,46,14,14,102,93,496,,
Innovation Academy Charter (District),4350000,SCI,67,40,10,6,57,34,73,44,26,16,166,94,494.1,,
Ipswich,1440000,SCI,132,53,32,13,100,40,101,40,18,7,251,98,502.8,,
KIPP Academy Boston Charter School (District),4630000,SCI,8,10,0,0,8,10,38,45,38,45,84,74,472.9,,
KIPP Academy Lynn Charter (District),4290000,SCI,26,29,4,4,22,24,47,52,17,19,90,38,490,,
King Philip,6900000,SCI,151,49,20,6,131,43,133,43,24,8,308,99,499.5,,
Kingston,1450000,SCI,86,53,11,7,75,46,50,31,26,16,162,99,499.2,,
Lawrence,1490000,SCI,250,15,16,1,234,14,715,44,666,41,"1,631",97,477.4,,
Lawrence Family Development Charter (District),4540000,SCI,64,42,6,4,58,38,76,50,12,8,152,98,496.5,,
Learning First Charter Public School (District),4860000,SCI,20,15,0,0,20,15,72,55,38,29,130,96,482.1,,
Lee,1500000,SCI,33,35,6,6,27,29,47,50,14,15,94,100,493.2,,
Leicester,1510000,SCI,81,43,8,4,73,39,85,45,23,12,189,97,496.7,,
Lenox,1520000,SCI,46,48,5,5,41,43,45,47,4,4,95,96,499.3,,
Leominster,1530000,SCI,245,33,30,4,215,29,345,46,154,21,744,97,490.3,,
Leverett,1540000,SCI,7,54,1,8,6,46,6,46,0,0,13,100,503.8,,
Lexington,1550000,SCI,754,73,225,22,529,51,237,23,47,5,"1,038",95,512.8,,
Libertas Academy Charter School (District),35140000,SCI,3,7,0,0,3,7,27,64,12,29,42,100,477.8,,
Lincoln,1570000,SCI,85,52,16,10,69,43,60,37,17,10,162,94,501.9,,
Littleton,1580000,SCI,118,56,21,10,97,46,80,38,12,6,210,86,503.8,,
Longmeadow,1590000,SCI,217,55,46,12,171,44,144,37,30,8,391,98,503.2,,
Lowell,1600000,SCI,259,16,25,2,234,15,736,46,608,38,"1,603",86,478.9,,
Lowell Community Charter Public (District),4560000,SCI,52,39,8,6,44,33,61,46,20,15,133,100,492.4,,
Ludlow,1610000,SCI,95,30,8,3,87,28,166,53,55,17,316,92,490.1,,
Lunenburg,1620000,SCI,129,55,23,10,106,45,92,39,15,6,236,100,502.8,,
Lynn,1630000,SCI,369,21,36,2,333,19,817,46,586,33,"1,772",93,482.4,,
Lynnfield,1640000,SCI,221,63,50,14,171,49,105,30,26,7,352,99,506.3,,
Malden,1650000,SCI,196,26,26,3,170,23,368,49,186,25,750,98,486.9,,
Manchester Essex Regional,6980000,SCI,104,59,21,12,83,47,55,31,16,9,175,93,503.5,,
Mansfield,1670000,SCI,256,50,33,6,223,44,199,39,53,10,508,98,499.5,,
Marblehead,1680000,SCI,271,62,57,13,214,49,132,30,36,8,439,99,505.3,,
Marblehead Community Charter Public (District),4640000,SCI,32,44,6,8,26,36,28,39,12,17,72,99,496.2,,
Marion,1690000,SCI,36,57,9,14,27,43,19,30,8,13,63,100,502.8,,
Marlborough,1700000,SCI,220,32,31,4,189,27,293,42,182,26,695,99,487.4,,
Marshfield,1710000,SCI,328,58,56,10,272,48,208,37,25,4,561,96,504.4,,
Martha's Vineyard Charter (District),4660000,SCI,15,52,5,17,10,34,12,41,2,7,29,81,503.3,,
Martin Luther King Jr. Charter School of Excellence (District),4920000,SCI,16,29,1,2,15,27,33,59,7,13,56,97,489,,
Masconomet,7050000,SCI,125,56,17,8,108,48,82,37,16,7,223,96,502.6,,
Mashpee,1720000,SCI,107,45,16,7,91,38,97,41,33,14,237,92,496.3,,
Match Charter Public School (District),4690000,SCI,31,22,1,1,30,22,78,56,30,22,139,98,483.9,,
Mattapoisett,1730000,SCI,46,77,7,12,39,65,14,23,0,0,60,100,511.9,,
Maynard,1740000,SCI,93,51,17,9,76,42,72,40,16,9,181,95,498.9,,
Medfield,1750000,SCI,270,71,55,15,215,57,94,25,15,4,379,97,509.2,,
Medford,1760000,SCI,154,34,27,6,127,28,200,45,93,21,447,88,490.9,,
Medway,1770000,SCI,163,51,30,9,133,42,134,42,23,7,320,97,500.9,,
Melrose,1780000,SCI,271,54,53,11,218,44,183,37,47,9,501,96,501.6,,
Mendon-Upton,7100000,SCI,178,52,25,7,153,44,143,42,23,7,344,99,500.6,,
Methuen,1810000,SCI,307,31,33,3,274,28,461,47,220,22,988,98,489,,
Middleborough,1820000,SCI,184,45,24,6,160,39,171,42,53,13,408,92,497.2,,
Middleton,1840000,SCI,48,59,8,10,40,49,27,33,7,9,82,100,504.7,,
Milford,1850000,SCI,205,35,24,4,181,31,266,45,117,20,588,97,490.4,,
Millbury,1860000,SCI,113,43,17,6,96,36,117,44,34,13,264,100,495.7,,
Millis,1870000,SCI,76,45,14,8,62,37,78,46,14,8,168,97,498.9,,
Milton,1890000,SCI,382,62,73,12,309,50,191,31,41,7,614,97,505.8,,
Mohawk Trail,7170000,SCI,33,39,2,2,31,37,39,46,12,14,84,65,493.4,,
Monomoy Regional School District,7120000,SCI,147,51,20,7,127,44,116,40,24,8,287,87,501.2,,
Monson,1910000,SCI,51,43,4,3,47,40,52,44,15,13,118,99,495.1,,
Mount Greylock,7150000,SCI,83,54,15,10,68,44,57,37,14,9,154,97,502,,
Mystic Valley Regional Charter (District),4700000,SCI,104,48,10,5,94,43,97,44,17,8,218,99,497.1,,
Nahant,1960000,SCI,7,44,1,6,6,38,6,38,3,19,16,84,497.3,,
Nantucket,1970000,SCI,91,38,9,4,82,35,116,49,30,13,237,98,493.3,,
Narragansett,7200000,SCI,80,40,8,4,72,36,91,45,30,15,201,98,494,,
Nashoba,7250000,SCI,296,64,62,13,234,51,148,32,18,4,462,100,507.4,,
Natick,1980000,SCI,533,67,105,13,428,54,209,26,53,7,795,99,507.2,,
Nauset,6600000,SCI,55,37,11,7,44,30,79,54,13,9,147,79,495.3,,
Needham,1990000,SCI,526,62,134,16,392,47,271,32,45,5,842,97,507.2,,
Neighborhood House Charter (District),4440000,SCI,19,18,0,0,19,18,59,56,27,26,105,95,484.3,,
New Bedford,2010000,SCI,319,20,25,2,294,18,779,48,512,32,"1,610",89,481.6,,
New Heights Charter School of Brockton (District),35130000,SCI,18,25,0,0,18,25,38,52,17,23,73,100,483.9,,
New Salem-Wendell,7280000,SCI,5,33,0,0,5,33,7,47,3,20,15,88,491.1,,
Newburyport,2040000,SCI,147,50,12,4,135,46,124,42,24,8,295,98,499,,
Newton,2070000,SCI,"1,053",65,261,16,792,49,464,28,115,7,"1,632",93,507.2,,
Norfolk,2080000,SCI,82,57,11,8,71,49,54,38,8,6,144,99,503.9,,
North Adams,2090000,SCI,33,22,4,3,29,20,68,46,46,31,147,89,483.2,,
North Andover,2110000,SCI,302,47,38,6,264,41,277,43,69,11,648,97,497.9,,
North Attleborough,2120000,SCI,399,58,88,13,311,45,233,34,52,8,684,99,504.7,,
North Brookfield,2150000,SCI,21,31,2,3,19,28,32,48,14,21,67,94,488.4,,
North Middlesex,7350000,SCI,205,45,28,6,177,39,200,44,51,11,456,98,497.1,,
North Reading,2170000,SCI,283,76,94,25,189,51,76,20,13,3,372,99,514.8,,
Northampton,2100000,SCI,124,49,16,6,108,43,92,37,35,14,251,76,497.8,,
Northborough,2130000,SCI,206,60,50,15,156,46,119,35,16,5,341,97,506.1,,
Northbridge,2140000,SCI,109,41,14,5,95,36,126,47,32,12,267,99,496,,
Norton,2180000,SCI,135,48,15,5,120,43,121,43,24,9,280,76,498.6,,
Norwell,2190000,SCI,235,68,46,13,189,54,103,30,10,3,348,99,507.4,,
Norwood,2200000,SCI,179,40,27,6,152,34,196,44,74,16,449,97,493.5,,
Oak Bluffs,2210000,SCI,54,52,8,8,46,44,41,39,9,9,104,100,501.1,,
Old Rochester,7400000,SCI,101,55,22,12,79,43,76,41,7,4,184,99,504.6,,
Old Sturbridge Academy Charter Public School (District),35150000,SCI,11,28,2,5,9,23,22,55,7,18,40,100,490.5,,
Orange,2230000,SCI,13,19,1,1,12,18,30,45,24,36,67,100,480.2,,
Orleans,2240000,SCI,27,71,5,13,22,58,8,21,3,8,38,100,507,,
Oxford,2260000,SCI,71,30,5,2,66,28,125,53,42,18,238,91,489.4,,
Palmer,2270000,SCI,40,27,5,3,35,24,58,40,48,33,146,94,484.1,,
Peabody,2290000,SCI,300,37,25,3,275,34,374,46,146,18,820,98,491.7,,
Pelham,2300000,SCI,5,42,0,0,5,42,5,42,2,17,12,100,492.4,,
Pembroke,2310000,SCI,217,52,30,7,187,45,166,40,35,8,418,97,501.1,,
Pentucket,7450000,SCI,156,44,25,7,131,37,161,45,37,10,354,98,497.3,,
Petersham,2340000,SCI,9,56,2,13,7,44,7,44,0,0,16,100,506.6,,
Pioneer Charter School of Science (District),4940000,SCI,57,53,13,12,44,41,38,36,12,11,107,99,501.4,,
Pioneer Charter School of Science II (District),35060000,SCI,11,33,1,3,10,30,19,58,3,9,33,100,492.8,,
Pioneer Valley,7500000,SCI,43,43,6,6,37,37,47,47,9,9,99,97,498.8,,
Pioneer Valley Chinese Immersion Charter (District),4970000,SCI,52,57,13,14,39,43,34,37,5,5,91,95,504.8,,
Pioneer Valley Performing Arts Charter Public (District),4790000,SCI,17,36,0,0,17,36,24,51,6,13,47,94,492.7,,
Pittsfield,2360000,SCI,172,27,12,2,160,25,315,49,155,24,642,95,486.4,,
Plainville,2380000,SCI,39,42,5,5,34,37,37,40,16,17,92,100,496.4,,
Plymouth,2390000,SCI,378,37,43,4,335,33,482,48,152,15,"1,012",98,493.3,,
Plympton,2400000,SCI,25,64,2,5,23,59,12,31,2,5,39,100,503.2,,
Prospect Hill Academy Charter (District),4870000,SCI,17,16,0,0,17,16,57,53,33,31,107,82,479.3,,
Provincetown,2420000,SCI,7,29,2,8,5,21,17,71,0,0,24,100,493.1,,
Quabbin,7530000,SCI,121,42,11,4,110,38,139,48,31,11,291,97,494.7,,
Quaboag Regional,7780000,SCI,60,36,10,6,50,30,79,47,28,17,167,97,491.7,,
Quincy,2430000,SCI,469,43,98,9,371,34,446,41,180,16,"1,095",97,496.7,,
Ralph C Mahar,7550000,SCI,39,45,3,3,36,41,35,40,13,15,87,95,494.4,,
Randolph,2440000,SCI,122,33,12,3,110,30,171,47,74,20,367,96,489.9,,
Reading,2460000,SCI,350,60,84,14,266,46,188,32,44,8,582,96,504.9,,
Revere,2480000,SCI,256,27,21,2,235,25,426,46,252,27,934,98,486,,
Richmond,2490000,SCI,19,61,3,10,16,52,10,32,2,6,31,91,504.5,,
Rising Tide Charter Public (District),4830000,SCI,96,57,16,9,80,47,61,36,12,7,169,98,502.6,,
River Valley Charter (District),4820000,SCI,31,54,5,9,26,46,23,40,3,5,57,98,501.2,,
Rochester,2500000,SCI,51,60,13,15,38,45,31,36,3,4,85,100,506.9,,
Rockland,2510000,SCI,129,37,21,6,108,31,151,43,68,20,348,97,491.8,,
Rockport,2520000,SCI,51,40,12,9,39,30,63,49,15,12,129,98,498.2,,
Roxbury Preparatory Charter (District),4840000,SCI,48,18,3,1,45,16,136,50,90,33,274,98,480.2,,
Salem,2580000,SCI,141,30,14,3,127,27,218,46,117,25,476,85,486.9,,
Salem Academy Charter (District),4850000,SCI,33,62,7,13,26,49,15,28,5,9,53,100,504.2,,
Sandwich,2610000,SCI,198,50,38,10,160,41,152,39,44,11,394,97,500.4,,
Saugus,2620000,SCI,140,38,16,4,124,34,172,47,56,15,368,98,493.4,,
Scituate,2640000,SCI,269,64,49,12,220,52,127,30,24,6,420,98,506.4,,
Seekonk,2650000,SCI,190,58,28,9,162,49,106,32,33,10,329,99,502,,
Sharon,2660000,SCI,282,60,78,17,204,44,153,33,32,7,467,96,505.8,,
Sherborn,2690000,SCI,38,59,5,8,33,52,24,38,2,3,64,98,505.2,,
Shrewsbury,2710000,SCI,495,60,121,15,374,45,278,34,54,7,827,99,506.1,,
Shutesbury,2720000,SCI,8,62,1,8,7,54,4,31,1,8,13,100,506.3,,
Silver Lake,7600000,SCI,99,44,11,5,88,39,104,46,24,11,227,98,496.4,,
Sizer School: A North Central Charter Essential (District),4740000,SCI,15,36,3,7,12,29,20,48,7,17,42,88,493.5,,
Somerset,2730000,SCI,137,43,12,4,125,40,150,47,29,9,316,94,496.7,,
Somerville,2740000,SCI,202,34,36,6,166,28,244,41,148,25,594,90,489.7,,
South Hadley,2780000,SCI,95,42,14,6,81,36,95,42,35,16,225,85,495,,
South Shore Charter Public (District),4880000,SCI,59,45,6,5,53,40,51,39,21,16,131,98,495.8,,
Southampton,2750000,SCI,43,74,4,7,39,67,12,21,3,5,58,100,506.6,,
Southborough,2760000,SCI,188,74,56,22,132,52,55,22,10,4,253,99,514.5,,
Southbridge,2770000,SCI,23,10,0,0,23,10,119,51,93,40,235,97,476.2,,
Southern Berkshire,7650000,SCI,33,37,4,4,29,33,44,49,12,13,89,95,494,,
Southwick-Tolland-Granville Regional School District,7660000,SCI,65,36,6,3,59,33,98,54,18,10,181,90,494.9,,
Spencer-E Brookfield,7670000,SCI,57,29,2,1,55,28,108,54,35,18,200,100,489.7,,
Springfield,2810000,SCI,389,18,37,2,352,16,991,45,826,37,"2,206",90,479.5,,
Springfield International Charter (District),4410000,SCI,41,23,6,3,35,20,89,51,45,26,175,88,484.9,,
Springfield Preparatory Charter School (District),35100000,SCI,22,41,1,2,21,39,25,46,7,13,54,100,493.3,,
Stoneham,2840000,SCI,170,52,37,11,133,41,128,39,28,9,326,99,501.6,,
Stoughton,2850000,SCI,181,37,23,5,158,33,212,44,91,19,484,97,493.3,,
Sturbridge,2870000,SCI,60,53,9,8,51,45,44,39,10,9,114,98,502.6,,
Sudbury,2880000,SCI,396,67,98,17,298,51,176,30,15,3,587,97,509.9,,
Sunderland,2890000,SCI,14,48,0,0,14,48,11,38,4,14,29,81,497.9,,
